year_month,estado,conteo
2021-01,AGUASCALIENTES,1
2021-01,Aguascalientes,18370
2021-01,Baja California,75235
2021-01,CAMPECHE,1
2021-01,CHIHUAHUA,1
2021-01,CIUDAD DE MÉXICO,4
2021-01,Campeche,15407
2021-01,Chiapas,31790
2021-01,Chihuahua,39266
2021-01,Ciudad De México,10
2021-01,Ciudad de México,971
2021-01,Coahuila,40734
2021-01,Colima,9113
2021-01,Durango,17606
2021-01,Estado De México,2
2021-01,Estado de México,24
2021-01,Guanajuato,67187
2021-01,Guerrero,26428
2021-01,Hidalgo,82250
2021-01,Jalisco,166309
2021-01,MORELOS,18
2021-01,Michoacán,29422
2021-01,Morelos,57633
2021-01,Nayarit,10956
2021-01,Nuevo León,183454
2021-01,Oaxaca,28022
2021-01,Puebla,82028
2021-01,Querétaro,61674
2021-01,Quintana Roo,75297
2021-01,San Luis Potosí,28179
2021-01,Sinaloa,53043
2021-01,Sonora,70419
2021-01,Tabasco,37673
2021-01,Tamaulipas,56324
2021-01,Tlaxcala,9561
2021-01,Veracruz,84914
2021-01,Yucatán,58820
2021-01,Zacatecas,10386
2021-01,campeche,1
2021-01,chiapas,1
2021-01,chihuahua,1
2021-01,ciudad de México,1
2021-01,colima,3
2021-01,durango,2
2021-01,guanajuato,3
2021-01,guerrero,1
2021-01,hidalgo,2
2021-01,jalisco,5
2021-01,morelos,1462
2021-01,nayarit,3
2021-01,oaxaca,2
2021-01,puebla,7
2021-01,quintana roo,1
2021-01,sinaloa,2
2021-01,sonora,2
2021-01,tamaulipas,2
2021-01,tlaxcala,1
2021-01,veracruz,5
2021-02,Aguascalientes,14781
2021-02,Baja California,76215
2021-02,CIUDAD DE MÉXICO,2
2021-02,Campeche,12481
2021-02,Chiapas,24233
2021-02,Chihuahua,40790
2021-02,Ciudad De México,1
2021-02,Ciudad de México,228
2021-02,Coahuila,36132
2021-02,Colima,7861
2021-02,Durango,16037
2021-02,Estado De México,4
2021-02,Estado de México,19
2021-02,Guanajuato,52559
2021-02,Guerrero,23366
2021-02,Hidalgo,65975
2021-02,Jalisco,135665
2021-02,Michoacán,25064
2021-02,Morelos,51618
2021-02,Nayarit,8871
2021-02,Nuevo León,169588
2021-02,Oaxaca,21295
2021-02,PUEBLA,1
2021-02,Puebla,82815
2021-02,Querétaro,49079
2021-02,Quintana Roo,62702
2021-02,San Luis Potosí,27371
2021-02,Sinaloa,42342
2021-02,Sonora,55478
2021-02,Tabasco,32075
2021-02,Tamaulipas,47596
2021-02,Tlaxcala,8399
2021-02,Veracruz,80006
2021-02,Yucatán,50908
2021-02,Zacatecas,9440
2021-02,chiapas,16
2021-02,coahuila,1
2021-02,guerrero,1
2021-02,hidalgo,4
2021-02,jalisco,1
2021-02,morelos,923
2021-02,oaxaca,1
2021-02,puebla,4
2021-02,sinaloa,1
2021-02,zacatecas,1
2021-03,Aguascalientes,15841
2021-03,Baja California,63811
2021-03,Campeche,12653
2021-03,Chiapas,27140
2021-03,Chihuahua,28185
