year_month,estado,conteo
2019-01,Aguascalientes,25855
2019-01,Baja California,92572
2019-01,CIUDAD DE MÉXICO,1
2019-01,Campeche,22218
2019-01,Chiapas,36622
2019-01,Chihuahua,43856
2019-01,Ciudad De México,18
2019-01,Ciudad de México,321
2019-01,Coahuila,56422
2019-01,Colima,12607
2019-01,Durango,20923
2019-01,ESTADO DE MÉXICO,1
2019-01,Estado de México,32
2019-01,Guanajuato,102191
2019-01,Guerrero,33205
2019-01,HIDALGO,1
2019-01,Hidalgo,121674
2019-01,Jalisco,232724
2019-01,MORELOS,3
2019-01,Michoacán,40769
2019-01,Morelos,70797
2019-01,Nayarit,12624
2019-01,Nuevo León,282831
2019-01,Oaxaca,38999
2019-01,PUEBLA,1
2019-01,Puebla,115866
2019-01,Querétaro,85104
2019-01,Quintana Roo,83425
2019-01,SONORA,2
2019-01,San Luis Potosí,40950
2019-01,Sinaloa,81012
2019-01,Sonora,109152
2019-01,Tabasco,43607
2019-01,Tamaulipas,69996
2019-01,Tlaxcala,8694
2019-01,VERACRUZ,1
2019-01,VeraCruz,1
2019-01,Veracruz,107279
2019-01,Yucatán,66856
2019-01,Zacatecas,17027
2019-01,aguascalientes,2
2019-01,baja California,2
2019-01,baja california,1
2019-01,chiapas,4
2019-01,chihuahua,1
2019-01,ciudad de México,1
2019-01,colima,3
2019-01,guanajuato,2
2019-01,guerrero,1
2019-01,hidalgo,6
2019-01,jalisco,3
2019-01,morelos,2135
2019-01,nayarit,2
2019-01,oaxaca,5
2019-01,puebla,3
2019-01,sinaloa,2
2019-01,sonora,4
2019-01,tabasco,1
2019-01,tamaulipas,1
2019-01,veracruz,11
2019-02,Aguascalientes,19441
2019-02,Baja California,74605
2019-02,CIUDAD DE MÉXICO,2
2019-02,Campeche,15862
2019-02,Chiapas,28331
2019-02,Chihuahua,34630
2019-02,Ciudad De México,18
2019-02,Ciudad de México,373
2019-02,Coahuila,46435
2019-02,Colima,11245
2019-02,DURANGO,1
