mes_año,aguascalientes,baja california,baja california sur,campeche,chiapas,chihuahua,ciudad de méxico,coahuila,colima,distrito federal,durango,estado de méxico,guanajuato,guerrero,hidalgo,jalisco,michoacán,morelos,méxico,nayarit,nuevo león,oaxaca,puebla,querétaro,quintana roo,san luis potosí,sinaloa,sonora,tabasco,tamaulipas,tlaxcala,veracruz,yucatán,zacatecas
2022-01-01,17728,44927,14453,9872,22073,28347,329,40582,6476,287113,15219,37,47064,24476,57527,131973,21920,55720,142485,11604,153987,23753,70603,54073,67926,25136,39295,47808,36618,59314,6922,68219,45225,9589
2022-02-01,14477,46434,18253,8892,20226,29572,509,32054,8467,298523,13967,56,46294,24569,58867,120665,20308,53235,139913,9439,162084,22438,64488,47659,61961,23409,33177,46527,31685,42647,5383,84172,41787,11489
2022-03-01,16120,60172,19682,11402,23293,28141,507,35351,7333,355495,14497,71,56590,23674,75718,151697,25753,61448,159210,10580,178012,24573,82031,65334,72484,25630,43365,57600,34802,47744,8084,73405,51660,10875
2022-04-01,18340,58937,17055,14386,22567,27842,463,34928,7296,356468,16325,64,51901,26081,82378,147617,23244,56307,159183,9975,172352,24669,76582,56813,70226,31732,38361,58834,34276,43443,7707,75266,51250,11332
2022-05-01,19143,58335,16680,12731,21054,32313,510,36133,7541,343180,17004,49,49397,22940,74771,156330,23609,50649,158265,9474,180905,23771,81672,58358,68337,32434,38913,64586,33677,56389,6808,74916,54247,10718
2022-06-01,16674,51778,16462,9997,17806,30134,413,32319,5757,322982,15083,42,48973,19493,68649,146297,20263,48059,142802,10371,168057,21858,74114,49004,63480,29567,35262,57717,29552,42403,6520,67279,49101,8977
2022-07-01,15900,51668,18804,10513,17364,31393,366,33226,6092,316664,13594,23,48367,18569,63992,137033,20523,50969,136788,11670,162216,25092,65063,54769,64023,26709,32925,59148,30183,41324,5350,69300,43536,8620
2022-08-01,14525,56692,17134,10562,17661,32056,490,35782,5864,318304,12979,52,51449,17428,67067,142779,20601,55242,141615,11703,172114,22641,67939,56562,62248,28775,36659,61837,26713,46263,7800,66717,48679,8318
2022-09-01,13817,52816,16423,10208,19817,30149,541,33199,6552,340586,13266,68,57552,16586,66725,139718,21459,46913,150007,9611,166028,24304,71886,54850,64334,27751,36958,57443,27502,45297,6891,61521,50026,8634
2022-10-01,14761,54558,16002,10750,17610,30923,518,36244,7007,347997,14397,79,56486,17472,75410,140953,22791,47771,146321,8352,167610,23368,72770,50702,66355,27811,39381,54115,28087,42539,5123,63525,49942,7661
2022-11-01,14756,50717,15130,11538,19357,29018,521,36079,6158,354271,12963,48,52365,17133,72222,145497,22542,47730,148794,10578,154947,22098,69853,52724,64616,29615,35144,52006,27379,42522,5060,61357,47783,8197
2022-12-01,12969,45954,15372,9165,17623,26016,420,30990,6485,284577,10846,46,45483,17122,57623,122339,19128,42804,123647,8748,124417,21534,59087,44791,56971,25144,32658,47566,22875,35523,4202,58913,42239,7772
